tweet,date
fosslife,2020-12-30
,2020-12-30
,2020-12-29
,2020-12-28
much room think lie quite flat motherboard space constraint force snake plane,2020-12-28
,2020-12-28
,2020-12-27
week instagram bristol,2020-12-26
,2020-12-24
,2020-12-24
bourgeois,2020-12-23
make symbolism le disturbing,2020-12-23
,2020-12-23
thank,2020-12-23
,2020-12-23
,2020-12-22
pike,2020-12-22
,2020-12-22
xmas come early brexit supporter celebrate loss freedom movement week half early erosion right opportunity economy continue coming year beyond must absolutely delighted,2020-12-21
le fond wording one sentiment get tangled idea getting something right first essay refutes thing get right first obsessing getting everything right first,2020-12-21
however specific one lined future related blog,2020-12-21
yup one favourite chapter programming pearl eg,2020-12-21
,2020-12-21
uh huh,2020-12-21
,2020-12-21
,2020-12-21
,2020-12-21
,2020-12-21
time quite broad theme includes past future moment uncertainty planning closure daytoday etc,2020-12-21
,2020-12-20
wasnt talking rdbms article provides context also show code enterpriselike,2020-12-20
,2020-12-20
show flowchart conceal table shall continue mystified show table wont usually need flowchart theyll obvious fred brook,2020-12-20
sometimes strategic breakthrough new algorithm much often strategic breakthrough come redoing representation data table heart program lie fred brook,2020-12-20
tldr continued datadriven lookuptable approach unreasonably effective reducing complexity explicit logic control flow distinction code data casual one welldefined one code configuration,2020-12-20
tldr changing representation change perception problem solution refactoring process discovery sometimes gradual sometimes sudden shift duplication sometimes exist deeper level shallow first notice,2020-12-20
blog post week control essay paradigm refactoring control flow data code dualism roman numeral ever u,2020-12-20
ricesalad nice,2020-12-19
,2020-12-19
,2020-12-19
fair lack space handling credit card one pet peeve apparently cant emphasised enough,2020-12-19
,2020-12-19
nice,2020-12-18
,2020-12-18
go live dangerously,2020-12-17
unfortunately dont,2020-12-17
prota thats nothing uk us excel xl csv file without review data validation manage response lifethreatening global pandemic,2020-12-17
prota plus side may somewhat free useful information least wrong,2020-12-17
prota,2020-12-17
one favourite singleletter variable story company fortunately codebase worked developer introduced variable name sequence starting declaration nicely ordered otherwise entirely meaningless,2020-12-17
thats work going get done hence procrastination latin procrastinare pro crastinus belonging tomorrow perendination even better though putting day tomorrow,2020-12-17
believe essenx esseny e n,2020-12-17
yesterday always trying catch today original eventualconsistency issue,2020-12-17
,2020-12-17
