id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1344333511524831232	1344300973062316032	2020-12-30 20:24:20 MSK	2020-12-30	20:24:20	+0300	47378354	kevlinhenney	Kevlin Henney		@_FOSSLIFE 🙏	und	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/KevlinHenney/status/1344333511524831232	False		0								[{'screen_name': '_FOSSLIFE', 'name': 'FOSSlife', 'id': '1239533420449009664'}]				
1344288684779184128	1344276335330377730	2020-12-30 17:26:12 MSK	2020-12-30	17:26:12	+0300	47378354	kevlinhenney	Kevlin Henney		@mawillcockson @Foone 👍	und	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/KevlinHenney/status/1344288684779184128	False		0								[{'screen_name': 'mawillcockson', 'name': 'Matthew Willcockson (they/them)', 'id': '2349734725'}, {'screen_name': 'Foone', 'name': 'foone', 'id': '13502732'}]				
1343883675260354561	1343698404866748416	2020-12-29 14:36:50 MSK	2020-12-29	14:36:50	+0300	47378354	kevlinhenney	Kevlin Henney		@shekelator 🙏	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/KevlinHenney/status/1343883675260354561	False		0								[{'screen_name': 'shekelator', 'name': 'Dave', 'id': '53139105'}]				
1343634472118398986	1343555237131517953	2020-12-28 22:06:36 MSK	2020-12-28	22:06:36	+0300	47378354	kevlinhenney	Kevlin Henney		@GeeksKick @masterzdran @nunocancelo 🙏	und	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/KevlinHenney/status/1343634472118398986	False		0								[{'screen_name': 'GeeksKick', 'name': '🦔', 'id': '2882210577'}, {'screen_name': 'masterzdran', 'name': 'Nuno Cancelo', 'id': '222213144'}, {'screen_name': 'nunocancelo', 'name': 'Nuno Cancelo', 'id': '1305253434032041984'}]				
1343599763569184768	1343598639541792770	2020-12-28 19:48:41 MSK	2020-12-28	19:48:41	+0300	47378354	kevlinhenney	Kevlin Henney		@tastapod Not much room in there. I think it has to lie quite flat against the motherboard. Space constraints force it to be a snake on a plane.	en	[]	[]	[]	0	1	7	[]	[]	https://twitter.com/KevlinHenney/status/1343599763569184768	False		0								[{'screen_name': 'tastapod', 'name': 'Daniel Terhorst-North', 'id': '14526430'}]				
1343564195024011264	1343091054254419968	2020-12-28 17:27:20 MSK	2020-12-28	17:27:20	+0300	47378354	kevlinhenney	Kevlin Henney		@gutt3r @bmuskalla 🙏	und	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/KevlinHenney/status/1343564195024011264	False		0								[{'screen_name': 'gutt3r', 'name': 'Davide Restivo', 'id': '9112272'}, {'screen_name': 'bmuskalla', 'name': 'Benjamin Muskalla', 'id': '19662265'}]				
1343125541394767872	1343091054254419968	2020-12-27 12:24:17 MSK	2020-12-27	12:24:17	+0300	47378354	kevlinhenney	Kevlin Henney		@bmuskalla 🙏	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/KevlinHenney/status/1343125541394767872	False		0								[{'screen_name': 'bmuskalla', 'name': 'Benjamin Muskalla', 'id': '19662265'}]				
1342880947486814210	1342880947486814210	2020-12-26 20:12:22 MSK	2020-12-26	20:12:22	+0300	47378354	kevlinhenney	Kevlin Henney		My week on Instagram: Bristol  https://t.co/S6bFd3itJd	en	[]	['https://www.instagram.com/kevlin.henney/']	[]	0	0	0	[]	[]	https://twitter.com/KevlinHenney/status/1342880947486814210	False		0								[]				
1342163910955298820	1342150616798416903	2020-12-24 20:43:07 MSK	2020-12-24	20:43:07	+0300	47378354	kevlinhenney	Kevlin Henney		@wordpoppy 🎄🥂	und	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/KevlinHenney/status/1342163910955298820	False		0								[{'screen_name': 'wordpoppy', 'name': 'Grace Palmer', 'id': '1319830788'}]				
1342028105708417025	1342023219423944704	2020-12-24 11:43:28 MSK	2020-12-24	11:43:28	+0300	47378354	kevlinhenney	Kevlin Henney		@Nilsberger18 👍	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/KevlinHenney/status/1342028105708417025	False		0								[{'screen_name': 'Nilsberger18', 'name': 'Nils Berger', 'id': '1326846355806056449'}]				
1341849024220028930	1339859123102494720	2020-12-23 23:51:52 MSK	2020-12-23	23:51:52	+0300	47378354	kevlinhenney	Kevlin Henney		@leon_bourgeois @Aniuchaaja 🙏	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/KevlinHenney/status/1341849024220028930	False		0								[{'screen_name': 'leon_bourgeois', 'name': 'Leon Bourgeois', 'id': '2732059440'}, {'screen_name': 'Aniuchaaja', 'name': 'Ann', 'id': '358699167'}]				
1341848900517453827	1340599055815159808	2020-12-23 23:51:22 MSK	2020-12-23	23:51:22	+0300	47378354	kevlinhenney	Kevlin Henney		@Craigphotoman @johnsnolan That does not make the symbolism less disturbing...	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/KevlinHenney/status/1341848900517453827	False		0								[{'screen_name': 'Craigphotoman', 'name': 'Craig', 'id': '422128940'}, {'screen_name': 'johnsnolan', 'name': 'John S Nolan', 'id': '170064729'}]				
1341665246243598339	1341035046615068673	2020-12-23 11:41:36 MSK	2020-12-23	11:41:36	+0300	47378354	kevlinhenney	Kevlin Henney		@corneil @martinfowler 👍	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/KevlinHenney/status/1341665246243598339	False		0								[{'screen_name': 'corneil', 'name': 'Corneil du Plessis. ☕🦍😷', 'id': '19175718'}, {'screen_name': 'martinfowler', 'name': 'Martin Fowler', 'id': '16665197'}]				
1341517400622161923	1340619247265996802	2020-12-23 01:54:07 MSK	2020-12-23	01:54:07	+0300	47378354	kevlinhenney	Kevlin Henney		@holytshirt Thank you!	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/KevlinHenney/status/1341517400622161923	False		0								[{'screen_name': 'holytshirt', 'name': 'Toby Henderson', 'id': '11366882'}]				
1341517254345801728	1341516907560775686	2020-12-23 01:53:32 MSK	2020-12-23	01:53:32	+0300	47378354	kevlinhenney	Kevlin Henney		@jasongorman @andertonsmusic 🧙‍♂️🎸	und	[]	[]	[]	1	0	2	[]	[]	https://twitter.com/KevlinHenney/status/1341517254345801728	False		0								[{'screen_name': 'jasongorman', 'name': 'Jason Gorman (only, more indoors than usual)', 'id': '18771008'}, {'screen_name': 'andertonsmusic', 'name': 'Andertons Music Co.', 'id': '24703701'}]				
1341435512700227590	1341421283825704960	2020-12-22 20:28:43 MSK	2020-12-22	20:28:43	+0300	47378354	kevlinhenney	Kevlin Henney		@rixmath 🙏	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/KevlinHenney/status/1341435512700227590	False		0								[{'screen_name': 'rixmath', 'name': '🕸🏹', 'id': '86667854'}]				
1341365125555630085	1340619247265996802	2020-12-22 15:49:01 MSK	2020-12-22	15:49:01	+0300	47378354	kevlinhenney	Kevlin Henney		@advincze @rob_pike 👍	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/KevlinHenney/status/1341365125555630085	False		0								[{'screen_name': 'advincze', 'name': 'advincze', 'id': '14238744'}, {'screen_name': 'rob_pike', 'name': 'Rob Pike', 'id': '197263266'}]				
1341344093784424448	1341340405841977347	2020-12-22 14:25:27 MSK	2020-12-22	14:25:27	+0300	47378354	kevlinhenney	Kevlin Henney		@dervis_m @javaBin 🙏	und	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/KevlinHenney/status/1341344093784424448	False		0								[{'screen_name': 'dervis_m', 'name': 'Dervis Mansuroglu', 'id': '75798495'}, {'screen_name': 'javaBin', 'name': 'javaBin', 'id': '26328215'}]				
1341067748823212033	1341067748823212033	2020-12-21 20:07:21 MSK	2020-12-21	20:07:21	+0300	47378354	kevlinhenney	Kevlin Henney		Xmas has come early for Brexit supporters, who can now celebrate their loss of freedom of movement a week and a half early. Not only that, but the erosion of rights, opportunities and the economy will continue into the coming year and beyond. They must be absolutely delighted!	en	[]	[]	[]	2	5	38	[]	[]	https://twitter.com/KevlinHenney/status/1341067748823212033	False		0								[]				
